#,Positive,Negative,Neutral,Objective,Subjective,Happy,Sad,Stressed,Calm,Angry,Motivated,Unmotivated,Tired,Energetic,Disgusted,Social,Lonely,No Control,Control,Guilty,Accepting,Embarrassment,Pride
1,Today's been pretty good., Tl;dr: i have no friends and I suck at making and maintaining friendships,It's okay,i'm having a rough night tonight, FEELING RELIEVED AT THE THOUGHT OF BEING KIDNAPPED AND RAPED AND KILLED WAS NORMAL BECAUSE IT WASN’T LIKE ANYONE WHO LOVED ME FELT I WOULD BE WORTH ANYTHING ELSE,Literally it made me so happy I could cry.,I feel so depressed, Everything just sucks I have no one I cant truly talk to anyone because I act like everything with me is okay but in reality it’s the exact opposite,My running and exercise also help take my mind off of things., I hate this feeling because it's selfish and obsessive,My boss promoted me to the new job after I asked.,I am just ready to give up,I am so freaking exhausted,I am PUMPED,I feel disgusted,I got to hang out with my family today and we had a lot of fun,I feel so alone,I am losing control,I was finally able to say no to myself,It is my fault we lost the game,"You know what, I'm over it",I feel really embarrassed,I'm proud of myself
2,It was totally awesome!,That was not okay.,That was fine,The fact is that things are bad, FUCK YOU,This was the best day ever!,I am sad," Often times when I'm feeling incredibly stressed out, over no particular reason, I often get this feeling of stress over the immediate future",I feel calm, I’ve been angry for a long time,I am so ready to take on tomorrow.,I don't want to do this,My body just feels worn out all the time,I am so ready to go,It was absolutely disgusting,I get to see my girlfriend today,I am so lonely,I have no control over my life,It's like I finally have control,I am a filthy masturbator,"It's totally fine, I've moved past it",It was absolutely humiliating,I did a good job
3,Yeah I'm pleased,Not okay at all.,Yeah alright I guess,It is a fact, FUCK YOU AND YOUR FUCKING “religion” you HYPOCRITICAL PERSON,I laughed so freaking hard.,I feel so low,i'm having a rough night tonight,I am tranquil, They say “smacking” your children is OK because it’s acceptable in Asian cultures but what about when your fucking mother beats the shit out of you because you can’t learn to read a FUCKING CLOCK FAST ENOUGH,I feel motivated.,I feel ready to just give up on everything,Man I feel tired all the time,I had like 3 coffees already today I am so ready,He was acting so repulsively,I am looking forward to going to the dinner party tonight,I've never felt this alone in my entire life,I feel like everything is spiraling out of control and everything is going in circles and nothing is going right,I managed to muster up some self control,"Because I couldn't keep my mouth shut, my brother got in trouble",I've moved past it,My face flushed because it was so humiliating,I think I did a really good job here
4,You know it's been pretty good.,Oh my gosh it was awful,Could have been better but I'm not going to complain,This is the facts, You FUCKED up your god-damned life and had the AUDACITY to have another FUCKING CHILD who YOU TREATED WORSE THAN DIRT,I have not been able to stop smiling.,I feel blue," between everything that has been going on with corona and now these insane riots in MN, I'm feeling extremely anxious",The beach trip was super relaxing, FEELING RELIEVED AT THE THOUGHT OF BEING KIDNAPPED AND RAPED AND KILLED WAS NORMAL BECAUSE IT WASN’T LIKE ANYONE WHO LOVED ME FELT I WOULD BE WORTH ANYTHING ELSE,I am so freaking pumped,Then I just gave up on MARCo and started working,I just got off of a really long shift and I'm beat,I feel like I'm bouncing off the walls,How could people be so stupid?,My coworkers and I had a good conversation about whether or not we were going to stay with the company after the merger,My boyfriend left me,Literally not one thing in my life is going right,It's like things are finally going right,I feel super guilty,I feel acceptance,I've never felt so inferior and humiliated and embarrassed,I feel proud of what I managed to accomplish
5,I'm feeling grand.,I feel terrible,Things turned out okay in the end,These are the facts, You are MANIPULATIVE,I am happy.,I have cried for the past 6 hours, I've tried laying down and just watching random YouTube videos to distract myself but my head is actually aching from the anxiety,It was a relief to see the payment hit the bank account., FUCK YOU,I am so ready for this,I don't want to go to work today,"I woke up later than I wanted to, and I just felt dead tired",I am ready!,How could somebody just not care about you after a whole five fucking years,I felt social today,Christine hung up on me abruptly,I am losing my mind,I managed to stop myself,I feel ashamed for touching her chest,I forgave myself,They kept ridiculing me and I felt embarrassed as a result,I feel really proud for getting this dimploma
6,Today was great.,I'm just feeling super down today,I feel neutral,, And HYPOCRITICAL,I am so overjoyed I cannot tell you how much I am.,I just want to break down and cry, I just want to curl up in a ball under a blanket and hide from the world,I was so relieved to see that A grade in my gradebook, FUCK YOU AND YOUR FUCKING “religion” you HYPOCRITICAL PERSON,"I feel focused, motivated, and I feel like I could take on the world",I am dreading going to work tomorrow,"My head constantly feels like it has a bag of lead bricks in it, and it won't go away",I feel like I'm ready to run a marathon,I cannot believe there are such idiots in this world,I was very social today,It seems like my parents abandoned me,Everything is crashing around me,I said no to drugs for the first time today,It was so infuriating that I would mess up so badly,I forgave her,"I am not proud of that whatsoever, it was so humiliating",I managed to accomplish a lot today and I'm really happy as a result
7,That was super cool.,I don't even think logically I can grow but it's absolutely my worst insecurity and one of my worse fears and I feel so enormous,"Just a bit shaken, but overall I'm okay",, Im sorry this is so dumb," My friends from college are amazing, I guess they do care",My dog died today, I don't even think logically I can grow but it's absolutely my worst insecurity and one of my worse fears and I feel so enormous,It was so relaxing to get the massage, You FUCKED up your god-damned life and had the AUDACITY to have another FUCKING CHILD who YOU TREATED WORSE THAN DIRT,I feel like I am ready to take on the world,I have put this off for like three days now,I am tired,"After my coffee, I was wide awake.",There was a pile of cat poop on the floor that I had to deal with,I hung out with Anthony and Daniel for a few hours,How could I be so alone even around other people?,This past year has just been one defeat after another,I managed to turn down someone and it went okay!,Then I messed up really badly,I forgave him,I feel ridiculed as a result,I feel confident and successful
8,I have a new boyfriend now,I feel like twice the size I normally do recently and I already feel so big as it is,It's been aight,, I never want to stand up again,My boyfriend is literally the best person on the entire planet; he got me a nintendo switch!,We had to go to my grandma's funeral,I am stressed,Finally I can feel at peace with things, You are MANIPULATIVE,I am super prepared to get a ton of work done today,I cannot tell you how much I've been dreading this.,I am sleepy,I feel ready to tackle today,I cannot believe I actually wanted to date someone so blatantly racist,This was the first time since COVID started that I was actually able to hang out with my cousins,Everybody has left me,I'll never be able to fix things,Thigns actually turned out better than I expected,I'll never be able to forgive myself for yelling at her,I forgive him,It was so disrespectful to me,"That was a total success, and I am so happy for that!"
9,I won two tickets to the Mets game,"It's like my brain is like ""Oh your eating disorder is better here have this again so you can suffer more haha",Just aight,,Who could love someone as messed up as me?,My girlfriend is amazing!,My grandfather died,! I don’t even talk to her ex very much anymore but she’s still ruthless,I feel like I'm floating, And HYPOCRITICAL,"It is going to be a productive day today, I can just tell",I will always do it later,I feel like I could just pass out already,I am energetic,"And then he said the most racist, disgusting thing I've ever heard",My sister and I were up playing Wii until 3 in the morning,"I am stuck here, alone in my room","On any other day I feel like I'm just putting one step in front of the other, like I have so much going on that I can't focus on one thing for too long or I'll run out of time to do the other things I need to do",My life is going as planned,I feel so guilty for stealing from my mom,I feel forgiven,It was literally the worst I can't show my face again because I feel so embarrassed,I feel valued and worth something
10,I am going to my dream school,I am 19 years old and a girl and I have been obsessively checking my height against the fridge/wall and right now I am too horrified to stand up because my body feels so wrong,Alright I guess,,My opinion is this,"I love Mr. Snuggles, he just takes care of me.", I don’t know what to do and I constantly feel like I’m going to cry,I do not get shit done,I have never felt this deeply relaxed in my entire life,I am so fucking furious,I've decided to knock out my to do list,I've felt so super lazy today,I am so ready for a good long nap,I am feeling energetic,It was so embarrassing,Alex and I went out to the bar,My plans were cancelled so now I'm here ," I'll find myself questioning my relationship with my wife, with my family, the purpose of my life, why I make efforts to accomplish anything","Today actually went as planned, believe it or not",Who knows if she'll ever forgive me ,It's like I finally have a community that accepts me,"I'll never show my face in public again, I'm so humiliated","I feel proud of myself, and I'm going to give myself a pat on the back!"
11,What could be a better day,It's really making me not okay in the head,It turned out okay,,,I got an A on my exam!,And I don't feel good either,And I don't feel good either,Oh my gosh it was like a huge weight was lifted off my shoulders,I am really pissed off,I was super productive!,I did nothing but sit on my ass all day on the couch and scroll through Instagram,My body feels totally exhausted,After eating so much sugar I am on a sugar high!,I felt humiliated,"My three friends from school went out to the mall, which was pretty good at first","I don't have a roommate, I don't have friends","I keep questioning like, do I believe in God, do I want to be in a relationship",I was happy to be able to make my own decisions,That ended up being a really poor choice of words,There's finally a place where I feel accepted for who I am,"Went home and studied, didn't do anything much as I was feeling quite ashamed of my score and didn't have the motivation to do anything.",
